127.0.0.1 - - [30/Mar/2023:11:50:59 +0530] "GET / HTTP/1.1" 404 1074
127.0.0.1 - - [30/Mar/2023:11:51:00 +0530] "GET /Servlet_1/ HTTP/1.1" 404 1088
127.0.0.1 - - [30/Mar/2023:11:51:00 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [30/Mar/2023:11:51:26 +0530] "GET /Servlet_1/ HTTP/1.1" 404 1088
127.0.0.1 - - [30/Mar/2023:11:51:26 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [30/Mar/2023:11:52:51 +0530] "GET /Servlet_1//SampleServlet HTTP/1.1" 200 21
127.0.0.1 - - [30/Mar/2023:11:52:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [30/Mar/2023:11:55:41 +0530] "GET /Servlet_1//SampleServlet HTTP/1.1" 200 21
127.0.0.1 - - [30/Mar/2023:11:55:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [30/Mar/2023:11:55:43 +0530] "GET /Servlet_1//SampleServlet HTTP/1.1" 200 21
127.0.0.1 - - [30/Mar/2023:11:55:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [30/Mar/2023:11:55:43 +0530] "GET /Servlet_1//SampleServlet HTTP/1.1" 200 21
127.0.0.1 - - [30/Mar/2023:11:55:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [30/Mar/2023:11:55:43 +0530] "GET /Servlet_1//SampleServlet HTTP/1.1" 200 21
127.0.0.1 - - [30/Mar/2023:11:55:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [30/Mar/2023:11:55:48 +0530] "GET /Servlet_1//SampleServlet HTTP/1.1" 200 21
127.0.0.1 - - [30/Mar/2023:11:55:48 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [30/Mar/2023:11:55:53 +0530] "GET /Servlet_1//SampleServlet HTTP/1.1" 200 67
127.0.0.1 - - [30/Mar/2023:11:55:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [30/Mar/2023:11:55:53 +0530] "GET /Servlet_1//SampleServlet HTTP/1.1" 200 67
127.0.0.1 - - [30/Mar/2023:11:55:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
